Epoch,Loss Type,Loss Value
0.015873016,D_loss,1.5934
0.031746032,D_loss,1.1001
0.047619048,D_loss,0.1411
0.063492063,D_loss,0.139
0.079365079,D_loss,0.1039
0.095238095,D_loss,0.6004
0.111111111,D_loss,0.4084
0.126984127,D_loss,0.556
0.142857143,D_loss,0.3691
0.158730159,D_loss,0.1922
0.174603175,D_loss,0.3777
0.19047619,D_loss,0.6215
0.206349206,D_loss,0.8334
0.222222222,D_loss,0.4595
0.238095238,D_loss,0.5299
0.253968254,D_loss,0.7376
0.26984127,D_loss,0.5631
0.285714286,D_loss,0.7105
0.301587302,D_loss,0.6147
0.317460317,D_loss,0.7004
0.333333333,D_loss,0.5962
0.349206349,D_loss,0.6785
0.365079365,D_loss,0.8778
0.380952381,D_loss,0.8906
0.396825397,D_loss,0.8009
0.412698413,D_loss,0.6456
0.428571429,D_loss,0.6176
0.444444444,D_loss,0.7148
0.46031746,D_loss,1.1679
0.476190476,D_loss,0.7739
0.492063492,D_loss,0.517
0.507936508,D_loss,0.6942
0.523809524,D_loss,0.8135
0.53968254,D_loss,0.7238
0.555555556,D_loss,0.7648
0.571428571,D_loss,0.4545
0.587301587,D_loss,0.7633
0.603174603,D_loss,0.7476
0.619047619,D_loss,0.7542
0.634920635,D_loss,0.5911
0.650793651,D_loss,0.7047
0.666666667,D_loss,0.6161
0.682539683,D_loss,1.8161
0.698412698,D_loss,1.1176
0.714285714,D_loss,0.6268
0.73015873,D_loss,0.5889
0.746031746,D_loss,0.875
0.761904762,D_loss,0.9149
0.777777778,D_loss,0.8521
0.793650794,D_loss,1.4803
0.80952381,D_loss,0.4812
0.825396825,D_loss,1.0005
0.841269841,D_loss,0.3621
0.857142857,D_loss,0.4494
0.873015873,D_loss,1.1635
0.888888889,D_loss,0.6136
0.904761905,D_loss,0.6172
0.920634921,D_loss,0.4994
0.936507937,D_loss,1.1923
0.952380952,D_loss,0.5606
0.968253968,D_loss,0.9585
0.984126984,D_loss,0.6155
1.0,D_loss,0.8098
1.015873016,D_loss,0.8242
1.031746032,D_loss,0.4725
1.047619048,D_loss,0.9086
1.063492063,D_loss,0.4188
1.079365079,D_loss,0.5607
1.095238095,D_loss,0.5194
1.111111111,D_loss,0.7855
1.126984127,D_loss,0.7099
1.142857143,D_loss,0.8398
1.158730159,D_loss,0.7999
1.174603175,D_loss,0.5132
1.19047619,D_loss,0.5407
1.206349206,D_loss,0.7824
1.222222222,D_loss,0.5013
1.238095238,D_loss,0.5628
1.253968254,D_loss,0.6024
1.26984127,D_loss,0.6192
1.285714286,D_loss,0.2376
1.301587302,D_loss,1.2848
1.317460317,D_loss,0.3863
1.333333333,D_loss,0.6025
1.349206349,D_loss,0.314
1.365079365,D_loss,0.3939
1.380952381,D_loss,0.8857
1.396825397,D_loss,0.82
1.412698413,D_loss,0.6698
1.428571429,D_loss,0.9939
1.444444444,D_loss,0.8451
1.46031746,D_loss,0.6183
1.476190476,D_loss,0.5906
1.492063492,D_loss,0.6026
1.507936508,D_loss,0.3426
1.523809524,D_loss,0.7635
1.53968254,D_loss,1.1406
1.555555556,D_loss,2.0248
1.571428571,D_loss,0.6543
1.587301587,D_loss,0.3492
1.603174603,D_loss,0.5691
1.619047619,D_loss,0.4041
1.634920635,D_loss,0.4524
1.650793651,D_loss,0.5286
1.666666667,D_loss,0.7817
1.682539683,D_loss,0.4136
1.698412698,D_loss,1.0822
1.714285714,D_loss,0.4723
1.73015873,D_loss,0.3777
1.746031746,D_loss,0.2517
1.761904762,D_loss,0.3437
1.777777778,D_loss,0.7225
1.793650794,D_loss,0.453
1.80952381,D_loss,0.6342
1.825396825,D_loss,0.663
1.841269841,D_loss,0.3378
1.857142857,D_loss,0.2701
1.873015873,D_loss,0.2369
1.888888889,D_loss,0.2179
1.904761905,D_loss,0.4266
1.920634921,D_loss,0.5476
1.936507937,D_loss,0.7164
1.952380952,D_loss,0.2413
1.968253968,D_loss,0.3462
1.984126984,D_loss,0.6633
2.0,D_loss,0.5488
2.015873016,D_loss,0.3207
2.031746032,D_loss,0.4419
2.047619048,D_loss,0.1565
2.063492063,D_loss,0.1639
2.079365079,D_loss,0.2779
2.095238095,D_loss,0.2795
2.111111111,D_loss,0.4098
2.126984127,D_loss,0.8709
2.142857143,D_loss,0.669
2.158730159,D_loss,0.1181
2.174603175,D_loss,0.2843
2.19047619,D_loss,0.2848
2.206349206,D_loss,0.1204
2.222222222,D_loss,0.0637
2.238095238,D_loss,0.3748
2.253968254,D_loss,1.4072
2.26984127,D_loss,0.3498
2.285714286,D_loss,0.4411
2.301587302,D_loss,0.0783
2.317460317,D_loss,0.437
2.333333333,D_loss,1.4139
2.349206349,D_loss,0.1369
2.365079365,D_loss,3.1592
2.380952381,D_loss,0.251
2.396825397,D_loss,0.3223
2.412698413,D_loss,0.3312
2.428571429,D_loss,0.2013
2.444444444,D_loss,0.1187
2.46031746,D_loss,0.1566
2.476190476,D_loss,4.3056
2.492063492,D_loss,0.2362
2.507936508,D_loss,0.2619
